n_step,f_best,f_avg,f_std,test_f1_best
10,0.8983643409469793,0.9446774260126934,0.0167245231495846,0.0946291583321605
20,0.8980839961729471,0.9481242772960228,0.0161628643214854,0.0951259718214036
30,0.8873920101726589,0.9417408973919658,0.012414751436785,0.0930597371960059
40,0.8873920101726589,0.9343616673228023,0.0185920396597491,0.0930597371960059
50,0.8800686316183487,0.9258806390833504,0.0149177615394353,0.1053095723269389
60,0.8800686316183487,0.9308061444073592,0.0140401100352249,0.1053095723269389
70,0.8797432575728483,0.9253859209919374,0.0139916492685958,0.0947312963890208
80,0.8797432575728483,0.928300523769174,0.0147107373260425,0.0947312963890208
90,0.8711515393539473,0.9214530592486646,0.013024291403535,0.1244642574565018
100,0.8707046255012818,0.9148675597296212,0.0183080450410536,0.1099227668913707
110,0.8613001501011508,0.9156936041194429,0.017802116460274894,0.1156703245945975
